# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_protein_protein_contact	variants_effect_sequence_feature	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_structural_interaction_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ABCA17P	ENSG00000238098	ENST00000512848	processed_transcript	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA3	ENSG00000167972	ENST00000301732	protein_coding	0	3	0	24	0	1	3	0	22	0	0	0	0	0	0	1	0	0	0	0	0	1	0
ABCA3	ENSG00000167972	ENST00000382381	protein_coding	0	3	0	24	0	1	3	0	22	0	0	0	0	0	0	1	0	0	0	0	0	1	0
ABCA3	ENSG00000167972	ENST00000563623	retained_intron	0	1	0	19	0	0	0	3	14	0	3	0	0	0	0	1	0	0	0	0	0	0	0
ABCA3	ENSG00000167972	ENST00000566200	retained_intron	0	0	0	9	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	3
ABCA3	ENSG00000167972	ENST00000567910	protein_coding	0	1	0	9	0	1	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3
ABCA3	ENSG00000167972	ENST00000569062	retained_intron	0	0	0	9	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3
ABCA5	ENSG00000154265	ENST00000392676	protein_coding	0	2	1	11	0	0	0	0	11	1	0	0	0	0	0	0	0	0	0	0	0	2	0
ABCA5	ENSG00000154265	ENST00000392677	protein_coding	0	2	1	11	0	0	0	0	11	1	0	0	0	0	0	0	0	0	0	0	0	2	0
ABCA5	ENSG00000154265	ENST00000586601	retained_intron	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ABCA5	ENSG00000154265	ENST00000586811	protein_coding	0	2	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ABCA5	ENSG00000154265	ENST00000586995	nonsense_mediated_decay	0	0	0	14	3	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABCA5	ENSG00000154265	ENST00000587607	non_stop_decay	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA5	ENSG00000154265	ENST00000588106	retained_intron	0	0	0	3	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ABCA5	ENSG00000154265	ENST00000588877	protein_coding	0	2	1	11	0	0	0	0	11	1	0	0	0	0	0	0	0	0	0	0	0	2	0
ABCA5	ENSG00000154265	ENST00000589975	protein_coding	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA5	ENSG00000154265	ENST00000591234	nonsense_mediated_decay	0	0	0	10	3	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA5	ENSG00000154265	ENST00000592568	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA5	ENSG00000154265	ENST00000593153	protein_coding	0	0	1	8	0	0	0	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA5	ENSG00000154265	ENST00000593253	non_stop_decay	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA6	ENSG00000154262	ENST00000284425	protein_coding	0	0	3	18	1	0	0	0	17	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA6	ENSG00000154262	ENST00000446604	processed_transcript	0	0	0	13	0	0	0	0	10	0	2	0	0	0	0	0	0	0	0	0	0	0	1
ABCA6	ENSG00000154262	ENST00000589482	retained_intron	0	0	0	10	0	0	0	6	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2
ABCA6	ENSG00000154262	ENST00000589803	retained_intron	0	0	0	5	0	0	0	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ABCA6	ENSG00000154262	ENST00000590311	retained_intron	0	0	0	5	0	0	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ABCA6	ENSG00000154262	ENST00000590645	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA6	ENSG00000154262	ENST00000592493	processed_transcript	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA8	ENSG00000141338	ENST00000269080	protein_coding	0	2	3	22	0	0	0	0	22	3	0	0	0	0	0	0	0	0	0	0	0	2	0
ABCA8	ENSG00000141338	ENST00000428549	retained_intron	0	0	0	9	0	0	0	0	4	0	5	0	0	0	0	0	0	0	0	0	0	0	0
ABCA8	ENSG00000141338	ENST00000430352	protein_coding	0	2	3	22	0	0	0	0	20	3	0	0	0	0	0	0	0	0	0	0	0	2	2
ABCA8	ENSG00000141338	ENST00000541225	retained_intron	0	0	0	23	0	0	0	6	13	0	4	0	0	0	0	0	0	0	0	0	0	0	0
ABCA8	ENSG00000141338	ENST00000585531	protein_coding	0	0	0	9	0	0	0	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA8	ENSG00000141338	ENST00000585850	retained_intron	0	0	0	9	0	0	0	0	4	0	5	0	0	0	0	0	0	0	0	0	0	0	0
ABCA8	ENSG00000141338	ENST00000586292	retained_intron	0	0	0	11	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	3
ABCA8	ENSG00000141338	ENST00000586539	protein_coding	0	2	3	22	0	0	0	0	22	3	0	0	0	0	0	0	0	0	0	0	0	2	0
ABCA8	ENSG00000141338	ENST00000588458	retained_intron	0	0	0	5	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	3
ABCA8	ENSG00000141338	ENST00000589533	non_stop_decay	0	0	1	11	0	0	0	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	6
ABCA8	ENSG00000141338	ENST00000589980	retained_intron	0	0	0	11	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	6
ABCA8	ENSG00000141338	ENST00000590359	retained_intron	0	0	0	6	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3
ABCA8	ENSG00000141338	ENST00000591459	retained_intron	0	0	0	9	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	6
ABCA9	ENSG00000154258	ENST00000340001	protein_coding	0	0	1	16	0	0	0	0	16	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA9	ENSG00000154258	ENST00000370732	protein_coding	0	0	1	16	0	0	0	0	16	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA9	ENSG00000154258	ENST00000453985	protein_coding	0	0	1	16	0	0	0	0	16	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA9	ENSG00000154258	ENST00000460872	retained_intron	0	0	0	4	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA9	ENSG00000154258	ENST00000461623	retained_intron	0	0	0	8	0	0	0	4	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ABCA9	ENSG00000154258	ENST00000482072	processed_transcript	0	0	0	6	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
ABCA9	ENSG00000154258	ENST00000492580	retained_intron	0	0	0	3	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA9	ENSG00000154258	ENST00000495634	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA9	ENSG00000154258	ENST00000585714	protein_coding	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA9-AS1	ENSG00000231749	ENST00000458677	antisense	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB10P1	ENSG00000259689	ENST00000558695	processed_pseudogene	0	0	0	5	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
ABCB10P4	ENSG00000260053	ENST00000566803	processed_pseudogene	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ABCC1	ENSG00000103222	ENST00000345148	protein_coding	0	7	1	39	2	0	0	0	38	1	0	0	0	0	0	1	0	0	0	0	0	6	0
ABCC1	ENSG00000103222	ENST00000346370	protein_coding	0	7	1	39	2	0	0	0	38	1	0	0	0	0	0	1	0	0	0	0	0	6	0
ABCC1	ENSG00000103222	ENST00000349029	protein_coding	0	7	1	39	2	0	0	0	38	1	0	0	0	0	0	1	0	0	0	0	0	6	0
ABCC1	ENSG00000103222	ENST00000351154	protein_coding	0	7	1	39	2	0	0	0	38	1	0	0	0	0	0	1	0	0	0	0	0	6	0
ABCC1	ENSG00000103222	ENST00000399408	protein_coding	0	8	1	39	2	0	0	0	38	1	0	0	1	0	0	1	0	0	0	0	0	6	0
ABCC1	ENSG00000103222	ENST00000399410	protein_coding	0	8	1	39	2	0	0	0	38	1	0	0	1	0	0	1	0	0	0	0	0	6	0
ABCC1	ENSG00000103222	ENST00000572053	nonsense_mediated_decay	0	0	0	13	1	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	4
ABCC1	ENSG00000103222	ENST00000572882	protein_coding	0	7	1	38	0	0	0	2	36	1	0	0	0	0	0	1	0	0	0	0	0	6	1
ABCC1	ENSG00000103222	ENST00000574224	retained_intron	0	1	0	15	0	0	0	0	11	0	4	0	0	0	0	1	0	0	0	0	0	0	1
ABCC1	ENSG00000103222	ENST00000574761	retained_intron	0	0	0	12	0	0	0	1	8	0	1	0	0	0	0	0	0	0	0	0	0	0	2
ABCC1	ENSG00000103222	ENST00000575422	retained_intron	0	0	0	21	0	0	0	3	17	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABCC1	ENSG00000103222	ENST00000576557	processed_transcript	0	0	0	13	0	0	0	8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABCC11	ENSG00000121270	ENST00000353782	protein_coding	0	3	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0
ABCC11	ENSG00000121270	ENST00000356608	protein_coding	0	3	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0
ABCC11	ENSG00000121270	ENST00000394747	protein_coding	0	3	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0
ABCC11	ENSG00000121270	ENST00000394748	protein_coding	0	3	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0
ABCC11	ENSG00000121270	ENST00000537808	protein_coding	0	2	0	3	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ABCC11	ENSG00000121270	ENST00000565487	processed_transcript	0	0	0	3	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ABCC11	ENSG00000121270	ENST00000567385	retained_intron	0	0	0	4	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ABCC11	ENSG00000121270	ENST00000569172	processed_transcript	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ABCC11	ENSG00000121270	ENST00000569991	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC12	ENSG00000140798	ENST00000311303	protein_coding	0	4	4	8	0	0	0	0	8	4	0	0	0	0	0	1	0	0	0	0	0	4	0
ABCC12	ENSG00000140798	ENST00000416054	protein_coding	0	2	1	14	6	0	0	0	8	1	0	0	0	0	0	1	0	0	0	0	0	1	0
ABCC12	ENSG00000140798	ENST00000448542	protein_coding	0	2	2	12	3	0	0	0	9	2	0	0	0	0	0	1	0	0	0	0	0	2	0
ABCC12	ENSG00000140798	ENST00000497206	nonsense_mediated_decay	1	3	1	11	2	0	0	0	9	1	0	0	0	0	0	1	0	0	1	0	0	3	0
ABCC12	ENSG00000140798	ENST00000526251	retained_intron	0	0	0	6	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ABCC12	ENSG00000140798	ENST00000527640	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC12	ENSG00000140798	ENST00000528693	retained_intron	0	0	0	5	0	0	0	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ABCC12	ENSG00000140798	ENST00000529084	nonsense_mediated_decay	0	2	1	14	5	0	0	0	9	1	0	0	0	0	0	1	0	0	0	0	0	1	0
ABCC12	ENSG00000140798	ENST00000529504	nonsense_mediated_decay	0	2	2	12	3	0	0	0	9	2	0	0	0	0	0	1	0	0	0	0	0	2	0
ABCC12	ENSG00000140798	ENST00000532355	processed_transcript	0	0	0	6	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4
ABCC12	ENSG00000140798	ENST00000532494	nonsense_mediated_decay	1	3	1	11	2	0	0	0	9	1	0	0	0	0	0	1	0	0	1	0	0	3	0
ABCC12	ENSG00000140798	ENST00000533185	retained_intron	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3
ABCC12	ENSG00000140798	ENST00000533639	nonsense_mediated_decay	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
